HDI rank,Country,hdi_value,life_expectancy,expected_schooling,mean_schooling,gni_per_capita,hdi_category
160,Papua New Guinea,0.576,66.1,11.5,5,"3,971",Medium
161,Togo,0.571,62.7,13.1,5.9,"2,856",Medium
162,Syrian Arab Republic,0.564,72.1,7.4,5.9,"3,918",Medium
163,Mauritania,0.563,68.5,7.9,4.9,"6,267",Medium
164,Nigeria,0.56,54.5,10.5,7.6,"5,569",Medium
165,Tanzania (United Republic of),0.555,67,8.6,6.1,"3,515",Medium
166,Haiti,0.554,64.9,10.9,5.4,"2,935",Medium
167,Lesotho,0.55,57.4,11,7.7,"3,029",Medium
168,Pakistan,0.544,67.6,7.9,4.3,"5,501",Low
169,Senegal,0.53,68.7,9.1,2.9,"4,202",Low
170,Gambia,0.524,65.9,9,4.7,"2,812",Low
171,Congo (Democratic Republic of the),0.522,61.9,10.9,7.4,"1,431",Low
172,Malawi,0.517,67.4,9.9,5.2,"1,634",Low
173,Benin,0.515,60.8,10.4,3.2,"3,806",Low
174,Guinea-Bissau,0.514,64.1,10.6,3.7,"2,403",Low
175,Djibouti,0.513,66,6.2,4,"6,368",Low
176,Sudan,0.511,66.3,8.6,4,"2,810",Low
177,Liberia,0.51,62.2,10.5,6.2,"1,538",Low
178,Eritrea,0.503,68.6,7.3,5.1,"2,029",Low
179,Guinea,0.5,60.7,10.4,2.5,"3,494",Low
180,Ethiopia,0.497,67.3,9.2,2.4,"2,796",Low
181,Afghanistan,0.496,66,10.8,2.5,"1,972",Low
182,Mozambique,0.493,63.6,10.8,4.6,"1,356",Low
183,Madagascar,0.487,63.6,9.1,4.6,"1,656",Low
184,Yemen,0.47,69.3,7.5,5.5,"1,018",Low
185,Sierra Leone,0.467,61.8,9.1,3.5,"1,714",Low
186,Burkina Faso,0.459,61.1,8.7,2.3,"2,391",Low
187,Burundi,0.439,63.7,9.8,3.5,859,Low
188,Mali,0.419,60.4,7,1.6,"2,342",Low
188,Niger,0.419,61.2,8.3,1.4,"1,590",Low
190,Chad,0.416,55.1,8.3,2.3,"1,748",Low
191,Central African Republic,0.414,57.4,7.4,4,"1,100",Low
192,Somalia,0.404,58.8,7.5,1.9,"1,475",Low
193,South Sudan,0.388,57.6,5.6,5.7,688,Low
